Year,Title,Conference
2014.4,Mid-term Results of Surgical Treatment for Post-infarction Ventricular Septal Rupture: Benefits of Modified Infarct Exclusion Techniques Using Sealants (poster),"The 22nd Annual Meeting of the Asian Society for Cardiovascular and Thoracic Surgery, Istanbul, Turkey"
2016.10,Left Heart Decompression in VA ECLS: Experience of Samsung Medical Center, The 48th Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, Daegu, Korea
2020.11,The Clinical Result of Valve Repair Surgery in Active Left-sided Infected Endocarditis (oral),The 52nd Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, On-line, Korea
2020.11,Surgical Outcomes in Patients with Acute Type A Aortic Dissection with Malperfusion syndrome - Do We Need to Delay Surgery? (oral),The 52nd Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, On-line, Korea
2021.11,Clinical Impact of New-onset Infection During Extracorporeal Membrane Oxygenator in Adult Patients (oral),The 53rd Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, On-line, Korea
2021.11,The Multivariable Analysis for Outcomes of Valve-Sparing Root Replacement in Patients with Connective Tissue Disorder (oral),The 53rd Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, On-line, Korea
2021.11,Comparison of Valve Repair and Replacement in Patients with Active Infective Endocarditis in Native Mitral Valve (mini-oral),The 53rd Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, On-line, Korea
2022.10,Repair Versus Replacement in Active Native Mitral Valve Endocarditis: A Propensity Score-Matched Study (oral),"The 36th European Association for Cardio-Thoracic Surgery Annual Meeting, October 2022, Milan, Italy"
2022.11,Clinical Outcomes of Surgical Aortic Valve Replacement in Octogenarians (oral),The 54th Korean Society for Thoracic and Cardiovascular Surgery Annual Fall Meeting, Pyeongchang, Korea
2023.6,Prophylactic surgery reduces aortic reoperation in Loeys-Dietz syndrome: the importance of early diagnosis (poster),"The 31st Annual Meeting of the Asian Society for Cardiovascular and Thoracic Surgery, Busan, Korea"
2023.6,Clinical outcomes of surgical repair in mycotic aortic aneurysm: A 14-year single-center experience (poster),"The 31st Annual Meeting of the Asian Society for Cardiovascular and Thoracic Surgery, Busan, Korea"
2023.6,The Role of Residual AR Jet Flow Direction in Valve-Sparing Root Replacement (poster),"The 31st Annual Meeting of the Asian Society for Cardiovascular and Thoracic Surgery, Busan, Korea"
2024.4,Impact of the Grade and Jet Direction of Residual Aortic Regurgitation following Valve-sparing Root Replacement (oral),"The 104th American Association for Thoracic Surgery Annual Meeting, April 2024, Toronto, Canada"
